numerical, abbreviation, name, code
 10.0, GM, Gem Mint, GEM_MINT
 9.9, MT, Mint, MINT
 9.8, NM/MT, Near Mint/Mint, NEAR_MINT_MINT
 9.6, NM+, Near Mint+, NEAR_MINT_PLUS
 9.4, NM, Near Mint, NEAR_MINT
 9.2, NM-, Near Mint-, NEAR_MINT_MINUS
 9.0, VF/NM, Very Fine/Near Mint, VERY_FINE_NEAR_MINT
 8.5, VF+, Very Fine+, VERY_FINE_PLUS
 8.0, VF, Very Fine, VERY_FINE 
 7.5, VF-, Very Fine-, VERY_FINE_MINUS
 7.0, FN/VF, Fine/Very Fine, FINE_VERY_FINE
 6.5, FN+, Fine+, FINE_PLUS
 6.0, FN, Fine, FINE
 5.5, FN-, Fine-, FINE_MINUS
 5.0, VG/FN, Very Good/Fine, VERY_GOOD_FINE
 4.5, VG+, Very Good+, VERY_GOOD_PLUS
 4.0, VG, Very Good, VERY_GOOD
 3.5, VG-, Very Good-, VERY_GOOD_MINUS
 3.0, GD/VG, Good/Very Good, GOOD_VERY_GOOD
 2.5, GD+, Good+, GOOD_PLUS
 2.0, GD, Good, GOOD
 1.8, GD-, Good-, GOOD_MINUS
 1.5, FR/GD, Fair/Good, FAIR_GOOD
 1.0, FR, Fair, FAIR
 0.5, PR, Poor, POOR
 0.3, INC, Incomplete, INCOMEPLETE_3
 0.1, INC, Incomplete, INCOMEPLETE_1
